title,href
"류긍선 카카오모빌리티 대표 ""피지컬 AI 기반 기업으로 도약""",https://www.news1.kr/it-science/internet-platform/6100155
"""보험사는 사악해"" ""대표한테 총을…"" 폭력 부추기는 AI챗봇",https://www.yna.co.kr/view/AKR20260312070100091?input=1195m
"""AI 못하면 뒤처진다""…중진공, 중소기업 AX 전환 본격 지원",https://www.hankyung.com/article/202603127185i
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://weekly.donga.com/3/all/11/6134989/1
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://www.newsis.com/view/NISX20260313_0003546916
"외부칩 대거 도입한 메타, 자체 AI칩도 공개…개발 난항설 불식",https://www.yna.co.kr/view/AKR20260312006000091?input=1195m
AI 공포에 주가 40% 폭락…'18년 경력' CEO 물러난다,https://www.hankyung.com/article/202603138163i
"한화에어로, 게임 제작사 크래프톤과 ‘피지컬 AI’ 개발한다",https://www.khan.co.kr/article/202603131015001
챗GPT로 들어간 커머스...아모레·요기요 잇단 ‘AI’ 연동,http://www.edaily.co.kr/news/newspath.asp?newsid=03699846645382992
"'사고 치는 AI 로봇 걸러낸다'…UST, 피지컬 AI 안전 검증모델 개발",https://www.newsis.com/view/NISX20260312_0003545888
